metric,weighted_mean,min,p05,p50,p95,max,msa_share,state_share,neutral_share
pd_sensitivity,1.0167611970418209,0.6,0.6,0.7656191791354697,1.4272648756973998,1.4272648756973998,0.9393604951500756,0.06015352244248758,0.0004859824074368508
lgd_sensitivity,1.0000306695310592,0.6,0.6704700013758182,0.9364467216607358,1.2843174629824494,1.8188749509352578,0.9393604951500756,0.06015352244248758,0.0004859824074368508
