quarter,pd_multiplier,lgd_multiplier,mean_pd,mean_lgd,quarterly_el,cumulative_el
2025Q1,1.125,1.05,0.14487872899385335,0.3955848486365628,7793376087.283424,7793376087.283424
2025Q2,1.4000000000000001,1.109271523178808,0.1802935294145731,0.41791524532717916,10245890563.610298,18039266650.893723
2025Q3,1.675,1.1721311475409837,0.21570832983529278,0.4415973034591968,12953132163.181368,30992398814.07509
2025Q4,1.9500000000000002,1.2337662337662338,0.2511188603070342,0.46481534056418755,15872520705.130955,46864919519.20604
2026Q1,2.225,1.2903225806451613,0.28648367340485775,0.486101850101423,18938779737.602417,65803699256.80846
2026Q2,2.35,1.346153846153846,0.3025181509962019,0.5070587987944765,20864419309.39177,86668118566.20023
2026Q3,2.4,1.4047619047619047,0.3089178243823175,0.5289398348834455,22231145669.731476,108899264235.9317
2026Q4,2.2,1.4622641509433962,0.2832728508108935,0.5502375106254406,21212147198.442577,130111411434.37428
2027Q1,2.05,1.515625,0.2639877404068986,0.5698169365548176,20480818226.779602,150592229661.15387
2027Q2,1.9,1.5683229813664594,0.24468196246655044,0.5889537212605239,19632443331.88608,170224672993.03995
2027Q3,1.75,1.5307692307692307,0.2253668372780952,0.5753383226264828,17656525447.368668,187881198440.40863
2027Q4,1.6,1.4939024390243902,0.20604974790236924,0.5618692753619362,15759165571.905731,203640364012.31436
2028Q1,1.45,1.4545454545454546,0.1867325840365221,0.5473900857815779,13909006458.080532,217549370470.3949
