simulation_id,portfolio_loss,loss_rate
0,38370770000.0,0.063367695
1,53645730000.0,0.08859364
2,27329047000.0,0.045132756
3,27232471000.0,0.044973265
4,34752106000.0,0.05739162
5,64172050000.0,0.1059774
6,46260617000.0,0.076397434
7,29069255000.0,0.048006635
8,32278500000.0,0.053306565
9,26766055000.0,0.044203
10,26473240000.0,0.04371943
11,54379954000.0,0.08980618
12,26390268000.0,0.043582402
13,27127929000.0,0.044800617
14,36939104000.0,0.061003357
15,28228485000.0,0.04661814
16,31449422000.0,0.05193738
17,40986510000.0,0.067687474
18,54037254000.0,0.08924022
19,27396764000.0,0.045244586
20,54856163000.0,0.090592615
21,30237637000.0,0.049936168
22,46110904000.0,0.076150194
23,42558845000.0,0.07028412
24,40565625000.0,0.0669924
25,62145970000.0,0.10263142
26,29843732000.0,0.049285654
27,26601450000.0,0.04393116
28,30072801000.0,0.04966395
29,42161120000.0,0.06962729
30,32889287000.0,0.054315254
31,27369884000.0,0.045200195
32,43632996000.0,0.07205804
33,28382204000.0,0.046872
34,53890114000.0,0.08899722
35,26390268000.0,0.043582402
36,28664312000.0,0.04733789
37,26390268000.0,0.043582402
38,32999850000.0,0.054497845
39,36114120000.0,0.059640933
40,45629190000.0,0.075354666
41,29726276000.0,0.049091678
42,32639810000.0,0.053903256
43,48632170000.0,0.08031395
44,54181860000.0,0.08947903
45,58269827000.0,0.096230134
46,52650734000.0,0.08695044
47,43269820000.0,0.071458265
48,27549740000.0,0.04549722
49,41246007000.0,0.068116024
50,47759032000.0,0.078872
51,63891750000.0,0.105514504
52,41171220000.0,0.067992516
53,27890080000.0,0.046059277
54,33285794000.0,0.05497007
55,47414610000.0,0.07830321
56,26390268000.0,0.043582402
57,30145067000.0,0.049783293
58,40680923000.0,0.06718281
59,28417704000.0,0.046930626
60,27241685000.0,0.044988483
61,42393272000.0,0.070010684
62,43596837000.0,0.07199832
63,35248767000.0,0.058211837
64,40904286000.0,0.06755169
65,26390268000.0,0.043582402
66,40987943000.0,0.06768984
67,47571505000.0,0.07856231
68,31022578000.0,0.051232465
69,41398305000.0,0.06836753
70,34699006000.0,0.057303928
71,34704860000.0,0.057313595
72,45429465000.0,0.07502483
73,36945924000.0,0.06101462
74,36136250000.0,0.059677478
75,58738053000.0,0.09700339
76,38772597000.0,0.06403129
77,39352880000.0,0.064989604
78,39409394000.0,0.06508294
79,40386310000.0,0.06669627
80,26390268000.0,0.043582402
81,39747560000.0,0.0656414
82,26390268000.0,0.043582402
83,26390268000.0,0.043582402
84,37262570000.0,0.061537545
85,27355890000.0,0.045177087
86,36158930000.0,0.059714932
87,46042400000.0,0.07603706
88,26390268000.0,0.043582402
89,38678940000.0,0.06387662
90,39351930000.0,0.06498804
91,26390268000.0,0.043582402
92,26390268000.0,0.043582402
93,33718170000.0,0.05568412
94,33783935000.0,0.05579273
95,44857630000.0,0.07408047
96,36053950000.0,0.05954156
97,36344705000.0,0.060021732
98,47402303000.0,0.078282885
99,31019485000.0,0.051227357
